"Score" "Grupo"
5.78667997425572 "B"
5.30499499009801 "B"
4.05900587085393 "B"
5.54784830986767 "B"
4.86541597538164 "B"
3.31336105090126 "B"
6.67423566715502 "B"
4.08176976335493 "B"
5.63361426637555 "B"
5.41062210329088 "B"
6.39997038260118 "C"
7.43259820105701 "C"
5.65456738950351 "C"
7.05027651635647 "C"
7.78360743857931 "C"
4.9918644855423 "C"
6.03264099280854 "C"
5.12463453304689 "C"
3.77447310826828 "C"
5.25591543179907 "C"
8.29334480812368 "D"
7.19771834604511 "D"
7.00939771692179 "D"
6.36540437628599 "D"
7.566312182509 "D"
6.68867744303272 "D"
7.72480690303025 "D"
7.71252694468024 "D"
5.7831112682163 "D"
6.6268919860358 "D"
7.19062396380912 "A"
5.26275919324121 "A"
7.90258977165246 "A"
6.62534875493864 "A"
5.07471223097373 "A"
9.93420339693035 "A"
6.08295116778882 "A"
6.86417934271016 "A"
7.84030324308519 "A"
6.93946077714227 "A"
